kod_stacji;nazwa_stacji;wojewodztwo_zrodlo;miejscowosc_zrodlo;adres;wgs84_fi_n;wgs84_lambda_e;kod_simc;korekta_powod
WpKonin31018;Konin, ul. Leśna 23;WIELKOPOLSKIE;KONIN;ul. Leśna 21;-999.0;-999.0;0948667;same_gmina_unique
WpKoninStaszica;Konin, ul. Staszica 16;WIELKOPOLSKIE;KONIN;ul. Staszica 16;-999.0;-999.0;0948667;same_gmina_unique
WpKoniWyszyn;Konin, ul. Wyszyńskiego;WIELKOPOLSKIE;KONIN;ul. Wyszyńskiego 3;52.22565;18.268927;0948667;same_gmina_unique
WpKozieosLes;Koziegłowy, os.Leśne;WIELKOPOLSKIE;KOZIEGŁOWY;osiedle Leśne 22;52.449295;16.999634;0582048;manual: Koziegłowy, os. Leśne -> gm. Czerwonak
WpPiaskiKrzy;Piaski, Krzyżówka;WIELKOPOLSKIE;KRZYŻÓWKA;Piaski 10;52.501318;17.773175;0300914;manual: Krzyżówka, gm. Witkowo wg współrzędnych
WpPila57192;Piła, ul. Okrzei 8;WIELKOPOLSKIE;PIŁA;ul. Okrzei 8;-999.0;-999.0;0966530;same_gmina_unique
WpPilaKusoci;Pila, ul. Kusocińskiego;WIELKOPOLSKIE;PIŁA;ul. Kusocińskiego 10A;53.154408;16.759572;0966530;same_gmina_unique
WpTurek31046;Turek, ul. Uniejowska 1a;WIELKOPOLSKIE;TUREK;ul. Uniejowska 1a;-999.0;-999.0;0949336;same_gmina_unique
WpWKP009;WKPPiotrkowice09;WIELKOPOLSKIE;PIOTRKOWICE;;52.353806;18.345576;0297112;manual: Piotrkowice, gm. Ślesin wg współrzędnych
WpWKP010;WpWKPAdamów10;WIELKOPOLSKIE;ADAMÓW;;52.153849;18.362573;0288930;manual: Adamów, gm. Krzymów wg współrzędnych
ZpStarStargardWSSE;Stargard Szczeciński;ZACHODNIOPOMORSKIE;STARGARD SZCZECIŃSKI;ul. Czarnieckiego 34;53.337415;15.039209;0979596;manual: Stargard Szczeciński -> Stargard
ZpSzcStorkowoDO;Storkowo;ZACHODNIOPOMORSKIE;STORKOWO;ul. Storkowo;53.779722;16.497222;0306650;manual: Storkowo, gm. Grzmiąca wg współrzędnych
